Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
VEEKO INTERNATIONAL HOLDINGS LIMITED,0.0280HKD,9M,-3.45%,Women's Clothing
VENUS MEDTECH (HANGZHOU) INC.,1.210HKD,67.61M,-49.16%,Medical Devices & Implants
VESON HOLDINGS LIMITED,0.4100HKD,57.02M,118.09%,Batteries & Uninterruptable Power Supplies
VICO INTERNATIONAL HOLDINGS LIMITED,0.1700HKD,21.69M,31.78%,Other Personal Services
VICON HOLDINGS LIMITED,0.2410HKD,14.75M,-2.43%,Commercial Equipment Rental
VICTORY GROUP LIMITED,-HKD,26.38M,-,Other Auto & Truck Manufacturers
VICTORY SECURITIES (HOLDINGS) COMPANY LIMITED,4.270HKD,116M,-7.78%,Brokerage Services
VIETNAM MANUFACTURING AND EXPORT PROCESSING (HOLDINGS) LIMITED,0.2600HKD,30.11M,-10.34%,Motorcycles & Scooters
"VIEWTRIX TECHNOLOGY CO., LTD",32.30HKD,1.76B,-,Other Semiconductors
"VIGONVITA LIFE SCIENCES CO., LTD.",75.45HKD,1.61B,-7.82%,Other Pharmaceuticals
VINCENT MEDICAL HOLDINGS LIMITED,0.8100HKD,68.15M,-2.41%,"Other Medical Equipment, Supplies & Distribution"
VIRSCEND EDUCATION COMPANY LIMITED,0.1570HKD,61.87M,-20.30%,"School, College & University (NEC)"
VIRTUAL MIND HOLDING COMPANY LIMITED,0.6300HKD,76.28M,-41.67%,Other Apparel & Accessories
VISEN PHARMACEUTICALS,22.94HKD,319M,-30.06%,Other Biotechnology & Medical Research
VISION SYNERGY HOLDINGS LIMITED,0.7000HKD,127M,29.63%,Other Real Estate Development & Operations
VISTAR HOLDINGS LIMITED,0.1380HKD,21.13M,-27.37%,Other Construction & Engineering
VITAL INNOVATIONS HOLDINGS LIMITED,0.2700HKD,29.28M,54.29%,Industrial Machinery & Equipment Wholesale
VITASOY INTERNATIONAL HOLDINGS LIMITED,6.050HKD,786M,-3.35%,Other Non-Alcoholic Beverages
VIVA BIOTECH HOLDINGS,1.260HKD,337M,-30.00%,Other Pharmaceuticals
VIVA GOODS COMPANY LIMITED,0.4500HKD,572M,-28.57%,Other Apparel & Accessories
VOBILE GROUP LIMITED,2.800HKD,926M,-31.87%,Enterprise Software
VODATEL NETWORKS HOLDINGS LIMITED,0.1230HKD,9.67M,-3.91%,Other IT Services & Consulting
"VOICECOMM TECHNOLOGY CO., LTD.",46.82HKD,237M,-36.04%,Other IT Services & Consulting
VONGROUP LIMITED,0.7000HKD,25.75M,9.38%,Other IT Services & Consulting
"VOYAH AUTOMOTIVE TECHNOLOGY CO., LTD.",5.270HKD,2.47B,-,Electric (Alternative) Vehicles
VPOWER GROUP INTERNATIONAL HOLDINGS LIMITED,0.0820HKD,69.78M,-40.58%,Other Renewable Energy Equipment & Services
VSING LIMITED,0.1990HKD,27.38M,-51.46%,Other Marine Freight & Logistics
VSTECS HOLDINGS LIMITED,9.640HKD,1.76B,23.59%,Other Computer Hardware
VTECH HOLDINGS LIMITED,51.25HKD,1.66B,-16.46%,Other Communications & Networking
WAH SUN HANDBAGS INTERNATIONAL HOLDINGS LIMITED,1.180HKD,61.52M,0.00%,Handbags & Luggage
WAH WO HOLDINGS GROUP LIMITED,0.2440HKD,31.13M,65.99%,Other Construction & Engineering
WAI CHI HOLDINGS COMPANY LIMITED,0.6600HKD,18.5M,-2.94%,Other Semiconductors
WAI CHUN BIO-TECHNOLOGY LIMITED,0.7000HKD,32.84M,272.34%,Industrial Biotechnology Chemicals
WAI CHUN GROUP HOLDINGS LIMITED,0.6600HKD,22.52M,247.37%,Other Fishing & Farming
WAI KEE HOLDINGS LIMITED,0.8300HKD,83.99M,-8.79%,Other Construction & Engineering
WAI YUEN TONG MEDICINE HOLDINGS LIMITED,0.3300HKD,46.92M,-15.38%,Alternative Medicine
WALNUT CAPITAL LIMITED,0.1880HKD,25.2M,-89.56%,Other Investment Management & Fund Operators
WAN KEI GROUP HOLDINGS LIMITED,0.3300HKD,12.67M,20.00%,Other Personal Products
WAN LEADER INTERNATIONAL LIMITED,0.1080HKD,2.48M,-23.94%,Integrated Logistics Operators
WANDA HOTEL DEVELOPMENT COMPANY LIMITED,0.1180HKD,70.72M,4.42%,Hotels & Motels
WANG ON GROUP LIMITED,0.0210HKD,37.96M,-4.55%,Other Real Estate Development & Operations
WANG ON PROPERTIES LIMITED,0.0330HKD,64M,0.00%,Other Real Estate Development & Operations
WANGUO GOLD GROUP LIMITED,10.91HKD,6.16B,42.99%,Other Specialty Mining & Metals
WANJIA GROUP HOLDINGS LIMITED,0.1900HKD,27.36M,90.00%,Other Healthcare Facilities & Services
WANKA ONLINE INC.,1.320HKD,329M,78.38%,Advertising Agency
WANT WANT CHINA HOLDINGS LIMITED,4.160HKD,6.26B,-10.34%,Dairy Products
WASION HOLDINGS LIMITED,21.66HKD,2.89B,26.08%,Electrical Measuring & Testing Instruments
WATER OASIS GROUP LIMITED,1.190HKD,103M,27.96%,Beauty Supply Shop
WATTS INTERNATIONAL MARITIME COMPANY LIMITED,0.2120HKD,22.33M,-3.64%,Other Construction & Engineering
WEB3 META LIMITED,2.370HKD,14.96M,-8.85%,Other Business Support Services
WEBX INTERNATIONAL HOLDINGS COMPANY LIMITED,0.8000HKD,65.23M,-35.48%,Apparel Wholesale
WECON HOLDINGS LIMITED,0.2750HKD,28.07M,25.57%,Other Homebuilding
WEI YUAN HOLDINGS LIMITED,0.1260HKD,17.11M,3.28%,Other Construction & Engineering
"WEICHAI POWER CO., LTD.",41.64HKD,45.4B,120.90%,"Other Auto, Truck & Motorcycle Parts"
WEIGANG ENVIRONMENTAL TECHNOLOGY HOLDING GROUP LIMITED,0.2200HKD,37.43M,64.18%,Other Environmental Services & Equipment
"WEIHAI BANK CO., LTD.",2.820HKD,2.15B,-1.40%,Commercial Banks
WEILI HOLDINGS LIMITED,0.6100HKD,62.27M,117.86%,Other Paper Products
WEILONG DELICIOUS GLOBAL HOLDINGS LTD,8.160HKD,2.53B,-27.47%,Other Food Processing
WEIMOB INC.,1.260HKD,664M,-31.52%,Other Software
WEIYE HOLDINGS LIMITED,13.96HKD,349M,133.06%,Other Real Estate Development & Operations
WELL LINK SECURITIES HOLDINGS LIMITED,0.4550HKD,55.16M,26.39%,Brokerage Services
"WELLCELL HOLDINGS CO., LIMITED",0.6800HKD,347M,-79.70%,Other Integrated Telecommunications Services
WENLING ZHEJIANG MEASURING AND CUTTING TOOLS TRADING CENTRE COMPANY LIMITED,2.600HKD,26.54M,-18.75%,Other Real Estate Development & Operations
WENYE GROUP HOLDINGS LIMITED,0.0450HKD,4.77M,-.--%,Other Construction & Engineering
"WENZHOU KANGNING HOSPITAL CO., LTD.",8.900HKD,78.76M,-8.25%,"Hospitals, Clinics & Primary Care Services"
WEST CHINA CEMENT LIMITED,2.190HKD,1.53B,-29.35%,Cement & Concrete Manufacturing
WH GROUP LIMITED,9.050HKD,14.82B,4.38%,Animal Slaughtering & Processing
WHARF REAL ESTATE INVESTMENT COMPANY LIMITED,24.04HKD,9.31B,-2.20%,Other Real Estate Development & Operations
WIN HANVERKY HOLDINGS LIMITED,0.1960HKD,32.12M,-9.26%,Other Apparel & Accessories
WINE'S LINK INTERNATIONAL HOLDINGS LIMITED,0.6100HKD,31.13M,24.49%,"Beer, Wine & Liquor Stores"
WINFAIR INVESTMENT COMPANY LIMITED,4.360HKD,22.25M,6.86%,Other Real Estate Development & Operations
WINFULL GROUP HOLDINGS LIMITED,0.1510HKD,10.92M,-12.21%,Other Real Estate Development & Operations
WING CHI HOLDINGS LIMITED,0.1720HKD,24.59M,54.95%,Other Construction & Engineering
WING FUNG GROUP ASIA LIMITED,0.1180HKD,2.44M,-29.34%,"Heating, Ventilation & Air Conditioning Systems"
WING LEE DEVELOPMENT CONSTRUCTION HOLDINGS LIMITED,0.8800HKD,112M,-26.05%,Other Electric Utilities
WING LEE PROPERTY INVESTMENTS LIMITED,0.2100HKD,10.35M,55.56%,Retail Real Estate Development
WING ON COMPANY INTERNATIONAL LIMITED,15.00HKD,552M,7.91%,Retail - Department Stores
WING TAI PROPERTIES LIMITED,2.080HKD,365M,18.18%,Other Real Estate Development & Operations
WINNING TOWER GROUP HOLDINGS LIMITED,0.0540HKD,9.65M,0.00%,Other Food Processing
WINOX HOLDINGS LIMITED,0.2400HKD,18.37M,-11.11%,Other Apparel & Accessories
WINSON HOLDINGS HONG KONG LIMITED,0.2950HKD,22.58M,51.28%,"Waste Management, Disposal & Recycling Services"
WINTO GROUP (HOLDINGS) LIMITED,0.1400HKD,6.22M,-39.39%,Trade & Business Publishing
WISDOM EDUCATION INTERNATIONAL HOLDINGS COMPANY LIMITED,0.0670HKD,18.55M,-8.22%,"School, College & University (NEC)"
WISDOM WEALTH RESOURCES INVESTMENT HOLDING GROUP LIMITED,0.0320HKD,13.7M,-.--%,Other Computer & Electronics Retailers
WISDOMCOME GROUP HOLDINGS LIMITED,0.4600HKD,1.83M,10.84%,Other Food Retail & Distribution
WISE ALLY INTERNATIONAL HOLDINGS LIMITED,0.9200HKD,11.74M,-10.68%,Other Electronic Equipment & Parts
"WISE LIVING TECHNOLOGY CO., LTD",2.530HKD,97.36M,-1.17%,Steam & Air-Conditioning Supply
WISON ENGINEERING SERVICES CO. LTD.,0.5100HKD,265M,47.83%,Design Services
WK GROUP (HOLDINGS) LIMITED,0.5200HKD,133M,-42.22%,Other Steel
WLS HOLDINGS LIMITED,0.2300HKD,10.54M,-42.50%,Other Construction & Engineering
WONDERFUL SKY FINANCIAL GROUP HOLDINGS LIMITED,0.5200HKD,76.4M,33.33%,Other Advertising & Marketing
WONG'S INTERNATIONAL HOLDINGS LIMITED,1.300HKD,79.37M,2.36%,Other Electronic Equipment & Parts
WONG'S KONG KING INTERNATIONAL (HOLDINGS) LIMITED,0.6800HKD,63.33M,109.23%,Semiconductor Equipment Wholesale
WORLD DIGITAL ECONOMY ASSET GROUP LIMITED,0.1960HKD,16.79M,-47.03%,Building Contractors
WORLD HOUSEWARE (HOLDINGS) LIMITED,0.3800HKD,38.41M,-5.00%,Plumbing Fixtures & Fittings
WORLD SUPER HOLDINGS LIMITED,0.1060HKD,5.61M,0.95%,Commercial Equipment Rental
WORLD-LINK LOGISTICS (ASIA) HOLDING LIMITED,0.8800HKD,56.35M,69.23%,Other Ground Freight & Logistics
WS-SK TARGET GROUP LIMITED,7.750HKD,16.38M,-70.69%,Other Electrical Components & Equipment
WT GROUP HOLDINGS LIMITED,0.1850HKD,2.83M,76.19%,Building Contractors
"WUHAN DAZHONG DENTAL MEDICAL CO., LTD.",12.85HKD,80.96M,24.76%,"Hospitals, Clinics & Primary Care Services"
WUHAN YOUJI HOLDINGS LTD.,9.620HKD,115M,79.81%,Other Commodity Chemicals
"WUHAN YZY BIOPHARMA CO., LTD.",4.300HKD,106M,-46.38%,Bio Therapeutic Drugs
WULING MOTORS HOLDINGS LIMITED,0.4200HKD,177M,-7.69%,"Other Auto, Truck & Motorcycle Parts"
WUXI BIOLOGICS (CAYMAN) INC.,33.34HKD,17.61B,6.04%,Bio Therapeutic Drugs
WUXI LIFE INTERNATIONAL HOLDINGS GROUP LIMITED,3.900HKD,228M,-2.26%,Other Software
WUXI SUNLIT SCIENCE AND TECHNOLOGY COMPANY LIMITED,2.250HKD,36.75M,-21.88%,Industrial Machinery
WUXI XDC CAYMAN INC.,54.90HKD,8.83B,-9.63%,Other Pharmaceuticals
"WYNN MACAU, LIMITED",5.650HKD,3.78B,-4.88%,Other Casinos & Gaming
"X.J. ELECTRICS (HU BEI) GROUP CO., LTD",1.380HKD,60.06M,-48.70%,"Other Appliances, Tools & Housewares"
XD INC.,50.85HKD,3.1B,-21.59%,Internet Gaming
"XI'AN HAITIAN ANTENNA TECHNOLOGIES CO., LTD.",0.2050HKD,49.64M,-5.09%,Other Communications & Networking
"XI'AN KINGFAR PROPERTY SERVICES CO., LTD.",2.140CNY,18.2M,-35.15%,Other Real Estate Services
"XIABUXIABU CATERING MANAGEMENT (CHINA) HOLDINGS CO., LTD.",0.3600HKD,49.89M,-52.00%,Other Restaurants & Bars
"XIAMEN YAN PALACE BIRD'S NEST INDUSTRY CO., LTD.",6.990HKD,412M,21.14%,Special Foods & Wellbeing Products
XIANGXING INTERNATIONAL HOLDING LIMITED,0.1890HKD,30.87M,-30.00%,Integrated Logistics Operators
XIAOCAIYUAN INTERNATIONAL HOLDING LTD.,7.200USD,1.08B,-23.32%,Other Restaurants & Bars
XIAOMI CORPORATION,28.04HKD,92.02B,-28.65%,Phones & Smart Phones
XIMEI RESOURCES HOLDING LIMITED,19.92HKD,966M,206.46%,Nonferrous Metal Processing
XIN POINT HOLDINGS LIMITED,4.380HKD,561M,14.36%,Automotive Accessories
XIN YUAN ENTERPRISES GROUP LIMITED,1.760HKD,119M,-.--%,Petroleum Product Wholesale
XINCHEN CHINA POWER HOLDINGS LIMITED,0.2350HKD,38.45M,-26.56%,Engine & Powertrain Systems
XINDA INVESTMENT HOLDINGS LIMITED,0.1000HKD,18.94M,-9.91%,Solar Electric Ultilities
XINGDA INTERNATIONAL HOLDINGS LIMITED,1.180HKD,289M,-10.61%,Tires & Rubber Products Wholesale
XINGFA ALUMINIUM HOLDINGS LIMITED,7.590HKD,407M,2.02%,Other Aluminum
XINGYE ALLOY MATERIALS GROUP LIMITED,1.000HKD,110M,9.89%,Other Specialty Mining & Metals
XINGYE WULIAN SERVICE GROUP CO. LTD.,0.3800HKD,19.39M,18.75%,Other Construction & Engineering
"XINHUA LANDE SCITECH CO., LIMITED",0.2950HKD,21.03M,-4.84%,Other Computer Hardware
XINHUA NEWS MEDIA HOLDINGS LIMITED,0.0260HKD,6.41M,-33.33%,Cleaning Services
"XINHUA WINSHARE PUBLISHING AND MEDIA CO., LTD.",9.800HKD,2.07B,-4.30%,"Books, Newspapers & Magazines Wholesale"
"XINJI SHAXI GROUP CO., LTD",0.0800HKD,15.24M,60.00%,Other Real Estate Development & Operations
XINJIANG TIANYE WATER SAVING IRRIGATION SYSTEM COMPANY LIMITED,0.1960HKD,12.99M,8.89%,Plumbing Fixtures & Fittings
"XINJIANG XINXIN MINING INDUSTRY CO., LTD.",1.940HKD,547M,-31.93%,Other Specialty Mining & Metals
XINKONG INTERNATIONAL CAPITAL HOLDINGS LIMITED,0.0990HKD,110M,-28.78%,Other Investment Management & Fund Operators
XINMING CHINA HOLDINGS LIMITED,0.2360HKD,2.83M,10.80%,Residential Real Estate Services
"XINTE ENERGY CO., LTD.",4.950HKD,903M,-32.65%,Integrated Circuits
XINXIANG ERA GROUP COMPANY LIMITED,0.2300HKD,4.25M,4.55%,Other Restaurants & Bars
XINYI ELECTRIC STORAGE HOLDINGS LIMITED,0.5800HKD,58.13M,3.57%,Other Renewable Energy Equipment & Services
XINYI ENERGY HOLDINGS LIMITED,1.250HKD,1.36B,13.64%,Renewable IPPs
XINYI GLASS HOLDINGS LIMITED,9.900HKD,5.59B,19.71%,Other Construction Supplies & Fixtures
XINYI SOLAR HOLDINGS LIMITED,2.670HKD,3.12B,-10.10%,Photovoltaic Solar Systems & Equipment
XINYUAN PROPERTY MANAGEMENT SERVICE (CAYMAN) LTD.,0.3350HKD,25.35M,-30.21%,Other Real Estate Services
XIWANG PROPERTY HOLDINGS COMPANY LIMITED,0.0380HKD,6.83M,-.--%,Construction Material Wholesale
"XIZANG ZHIHUI MINING CO., LTD.",14.39HKD,896M,43.76%,Other Specialty Mining & Metals
"XJ INTERNATIONAL HOLDINGS CO., LTD.",0.1540HKD,170M,-15.85%,Miscellaneous Educational Service Providers
XTALPI HOLDINGS LIMITED,8.240HKD,4.52B,-12.90%,Other Advanced Medical Equipment & Technology
XTEP INTERNATIONAL HOLDINGS LIMITED,4.240HKD,1.47B,-20.15%,Sports & Outdoor Footwear
XUAN WU CLOUD TECHNOLOGY HOLDINGS LIMITED,1.280HKD,90.62M,10.34%,Other Internet Services
"XUANZHU BIOPHARMACEUTICAL CO., LTD.",16.37HKD,1.08B,-76.78%,Other Pharmaceuticals
"XUNFEI HEALTHCARE TECHNOLOGY CO., LTD.",82.40HKD,1.27B,4.17%,Medical Software & Technology Services
XXF GROUP HOLDINGS LIMITED,0.7100HKD,168M,-91.11%,Personal & Car Loans
Y. T. REALTY GROUP LIMITED,0.1680HKD,17.14M,19.15%,Other Real Estate Development & Operations
YADEA GROUP HOLDINGS LTD.,11.27HKD,4.37B,-0.88%,Motorcycles & Scooters
YADONG GROUP HOLDINGS LIMITED,0.5400HKD,41.34M,-3.57%,Natural Fabrics
YAN TAT GROUP HOLDINGS LIMITED,1.180HKD,36.13M,-1.67%,Integrated Circuits
YANCHANG PETROLEUM INTERNATIONAL LIMITED,0.3500HKD,49.13M,-4.11%,Other Oil & Gas Transportation Services
"YANCHENG PORT INTERNATIONAL CO., LIMITED",0.2600HKD,42.73M,9.70%,Diversified Industrial Goods Wholesale
YANGTZE OPTICAL FIBRE AND CABLELIMITED COMPANY,227.20HKD,36.04B,339.46%,Fiber Optic Cable Manufacturing
YANGTZEKIANG GARMENT LIMITED,0.8300HKD,21.9M,2.47%,Other Apparel & Accessories
YANGZHOU GUANGLING DISTRICT TAIHE RURAL MICRO-FINANCE COMPANY LIMITED,0.2650HKD,20.29M,-.--%,Other Consumer Lending
YANKUANG ENERGY GROUP COMPANY LIMITED,14.56HKD,26.38B,51.35%,Other Coal
"YANTAI NORTH ANDRE JUICE CO., LTD.",16.90HKD,2.4B,24.63%,Fruit Drinks
YAU LEE HOLDINGS LIMITED,0.6000HKD,33.54M,-20.00%,Other Construction & Engineering
YCIH GREEN HIGH-PERFORMANCE CONCRETE COMPANY LIMITED,0.4500HKD,25.62M,-11.76%,Cement & Concrete Manufacturing
YE XING GROUP HOLDINGS LIMITED,0.4200HKD,21.72M,79.49%,Other Real Estate Services
YEAHKA LIMITED,5.680HKD,324M,-28.91%,Transaction & Payment Services
YEE HOP HOLDINGS LIMITED,0.8700HKD,57.17M,-62.01%,Other Fishing & Farming
YEEBO (INTERNATIONAL HOLDINGS) LIMITED,4.880HKD,581M,31.89%,Other Electronic Equipment & Parts
YESASIA HOLDINGS LIMITED,2.790HKD,149M,-28.64%,Internet & Mail Order Department Stores
YESTAR HEALTHCARE HOLDINGS COMPANY LIMITED,0.0680HKD,20.23M,-32.67%,"Other Medical Equipment, Supplies & Distribution"
YGM TRADING LIMITED,1.120HKD,23.7M,27.27%,Other Apparel & Accessories Retailers
YH ENTERTAINMENT GROUP,1.990HKD,208M,-19.11%,Entertainment Production Equipment & Services
"YIBIN CITY COMMERCIAL BANK CO., LTD",2.640HKD,1.55B,0.38%,Commercial Banks
YIDA CHINA HOLDINGS LIMITED,0.0410HKD,13.52M,-8.89%,Other Real Estate Development & Operations
YIDU TECH INC.,5.240HKD,682M,-0.19%,Medical Software & Technology Services
YIHAI INTERNATIONAL HOLDING LTD.,13.80HKD,1.71B,9.52%,Food Ingredients
YIK WO INTERNATIONAL HOLDINGS LIMITED,0.1230HKD,12.92M,-22.64%,Other Non-Paper Containers & Packaging
YING HAI GROUP HOLDINGS COMPANY LIMITED,0.1020HKD,15.62M,-1.92%,Travel Agents
YING KEE TEA HOUSE GROUP LIMITED,0.1600HKD,7.38M,72.04%,Other Food Retail & Distribution
YINSHENG DIGIFAVOR COMPANY LIMITED,2.550HKD,135M,59.38%,Other Wireless Telecommunications Services
YIP'S CHEMICAL HOLDINGS LIMITED,2.190HKD,156M,14.66%,Other Commodity Chemicals
YIXIN GROUP LIMITED,1.560HKD,1.35B,-39.06%,Personal & Car Loans
YNBY INTERNATIONAL LIMITED,0.2110HKD,257M,-13.52%,Food Wholesale
YOHO GROUP HOLDINGS LIMITED,0.7800HKD,48.18M,14.71%,E-commerce & Auction Services
"YONGHE MEDICAL GROUP CO., LTD.",2.070HKD,132M,26.99%,Alternative Medicine Facilities
YOUZAN TECHNOLOGY LIMITED,0.0930HKD,384M,-33.09%,Other Software
YSB INC.,3.530HKD,307M,-34.26%,Pharmaceuticals Wholesale
YTO INTERNATIONAL EXPRESS AND SUPPLY CHAIN TECHNOLOGY LIMITED,1.470HKD,78.4M,34.86%,Other Air Freight & Logistics
YU TAK INTERNATIONAL HOLDINGS LIMITED,0.0180HKD,4.47M,-.--%,Jewelry
YUAN HENG GAS HOLDINGS LIMITED,0.0160HKD,13.36M,-5.88%,Petroleum Product Wholesale
YUANDA CHINA HOLDINGS LIMITED,0.1600HKD,127M,-6.43%,Other Construction Supplies & Fixtures
YUANSHENGTAI DAIRY FARM LIMITED,0.2800HKD,168M,12.00%,Beef & Veal Farming
YUE DA INTERNATIONAL HOLDINGS LIMITED,0.2950HKD,43.99M,-7.81%,Factoring
YUE YUEN INDUSTRIAL (HOLDINGS) LIMITED,14.67HKD,3.01B,-8.14%,Other Footwear
YUES INTERNATIONAL HOLDINGS GROUP LIMITED,0.3450HKD,29.36M,-44.35%,Other Paper Packaging
YUEXIU PROPERTY COMPANY LIMITED,4.370HKD,2.24B,10.35%,Other Real Estate Development & Operations
YUEXIU REAL ESTATE INVESTMENT TRUST,0.7000HKD,477M,-18.60%,Other Commercial REITs
YUEXIU SERVICES GROUP LIMITED,1.800HKD,345M,-26.23%,Residential Real Estate Services
YUEXIU TRANSPORT INFRASTRUCTURE LIMITED,4.000HKD,854M,-15.43%,Highway Operators
YUK WING GROUP HOLDINGS LIMITED,0.2750HKD,16M,87.07%,Other Industrial Machinery & Equipment
YUN LEE MARINE GROUP HOLDINGS LIMITED,0.1680HKD,21.44M,19.15%,Ship Repairing & Maintenance
YUNFENG FINANCIAL GROUP LIMITED,2.070HKD,1.07B,-34.49%,Other Multiline Insurance & Brokers
YUNHONG GUIXIN GROUP HOLDINGS LIMITED,1.290HKD,65.84M,-7.86%,Other Specialty Chemicals
YUNKANG GROUP LIMITED,0.7800HKD,58.25M,-21.21%,Medical & Diagnostic Laboratories
YUNNAN ENERGY INTERNATIONAL CO. LIMITED,0.8300HKD,29.17M,-15.31%,Construction Supplies & Fixtures Wholesale
"YUNNAN JINXUN RESOURCES CO., LTD.",18.65HKD,363M,-,Nonferrous Metal Processing
"YUNNAN WATER INVESTMENT CO., LIMITED",0.1040HKD,15.83M,-27.78%,Other Construction & Engineering
YUSEI HOLDINGS LIMITED,0.5500HKD,44.67M,-1.79%,Industrial Moulds
YUXING INFOTECH INVESTMENT HOLDINGS LIMITED,0.0740HKD,23.49M,-12.94%,Broadcasting Equipment
YUZHOU GROUP HOLDINGS COMPANY LIMITED,0.1450HKD,27.53M,38.10%,Other Real Estate Development & Operations
Z FIN LIMITED,2.730HKD,152M,-45.18%,Other Real Estate Development & Operations
ZACD GROUP LTD.,0.0280HKD,7.15M,-26.32%,Investment Management
ZALL SMART COMMERCE GROUP LTD.,0.0900HKD,142M,-10.89%,Diversified Industrial Goods Wholesale
ZENGAME TECHNOLOGY HOLDING LIMITED,2.290HKD,297M,-8.03%,Mobile Application Software
ZENSUN ENTERPRISES LIMITED,0.0760HKD,18.55M,-26.92%,Other Real Estate Development & Operations
ZERO FINTECH GROUP LIMITED,0.4050HKD,138M,-19.00%,Other Consumer Lending
ZERO2IPO HOLDINGS INC.,1.520HKD,57.41M,3.40%,Other Investment Management & Fund Operators
ZG GROUP,0.7500HKD,102M,-58.33%,Metal Service Centers
ZHAOJIN MINING INDUSTRY COMPANY LIMITED,21.56HKD,9.74B,-29.86%,Gold Mining
ZHAOKE OPHTHALMOLOGY LIMITED,2.540HKD,178M,-14.19%,Other Pharmaceuticals
"ZHEJIANG CHANG'AN RENHENG TECHNOLOGY CO., LTD.",1.210HKD,5.93M,-16.55%,Other Specialty Chemicals
"ZHEJIANG EXPRESSWAY CO., LTD.",6.720HKD,5.18B,-6.28%,Highway Operators
"ZHEJIANG GALAXIS TECHNOLOGY GROUP CO., LTD.",30.14HKD,1.65B,-,Industrial Machinery
"ZHEJIANG LEAPMOTOR TECHNOLOGY CO., LTD.",39.30HKD,7.13B,-19.17%,Electric (Alternative) Vehicles
ZHEJIANG RUIYUAN INTELLIGENT CONTROL TECHNOLOGY COMPANY LIMITED,0.0990HKD,6.32M,-17.50%,Other Electronic Equipment & Parts
ZHEJIANG SHIBAO COMPANY LIMITED,4.790HKD,1.82B,-2.44%,"Other Auto, Truck & Motorcycle Parts"
"ZHEJIANG TAIMEI MEDICAL TECHNOLOGY CO., LTD.",4.390HKD,316M,10.86%,Enterprise Software
"ZHEJIANG TENGY ENVIRONMENTAL TECHNOLOGY CO., LTD",2.130HKD,36.69M,9.23%,Purification & Treatment Equipment
ZHEJIANG UNITED INVESTMENT HOLDINGS GROUP LIMITED,0.0300HKD,6.04M,-9.09%,Other Construction & Engineering
"ZHEJIANG YONGAN RONGTONG HOLDINGS CO., LTD.",0.0470HKD,6.38M,-.--%,Other Professional Information Services
ZHENGWEI GROUP HOLDINGS COMPANY LIMITED,0.5100HKD,4.37M,-46.32%,Animal Slaughtering & Processing
ZHENGYE INTERNATIONAL HOLDINGS COMPANY LIMITED,0.3200HKD,20.41M,-11.11%,Other Paper Packaging
ZHENRO PROPERTIES GROUP LIMITED,0.0170HKD,9.47M,-45.16%,Other Real Estate Development & Operations
ZHENRO SERVICES GROUP LIMITED,0.0960HKD,12.71M,-12.73%,Other Real Estate Services
ZHI SHENG GROUP HOLDINGS LIMITED,5.900HKD,118M,16.37%,Office Furniture
ZHIDAO INTERNATIONAL (HOLDINGS) LIMITED,0.0560HKD,14.86M,-.--%,Other Construction & Engineering
ZHIXIN GROUP HOLDING LIMITED,0.7100HKD,81.31M,29.09%,Other Construction Materials
ZHONG AN GROUP LIMITED,0.1000HKD,71.55M,-6.54%,Residential Real Estate Development
ZHONG AN INTELLIGENT LIVING SERVICE LIMITED,2.700HKD,187M,39.18%,Residential Real Estate Services
ZHONG AO HOME GROUP LIMITED,0.8500HKD,92.68M,117.95%,Other Real Estate Services
ZHONG HUA INTERNATIONAL HOLDINGS LIMITED,0.0730HKD,7.16M,10.61%,Other Real Estate Development & Operations
ZHONG JI LONGEVITY SCIENCE GROUP LIMITED,0.3800HKD,30.87M,-24.00%,Other Consumer Lending
ZHONG JIA GUO XIN HOLDINGS COMPANY LIMITED,0.1940HKD,11.02M,-0.51%,Other Real Estate Development & Operations
ZHONG JU INVESTMENT GROUP LIMITED,3.020HKD,204M,-7.65%,New Car Dealers
ZHONG YING INTERNATIONAL GROUP LIMITED,1.290HKD,9.47M,44.94%,Highway & Bridge Construction
"ZHONGAN ONLINE P & C INSURANCE CO., LTD.",10.80HKD,2.32B,-32.88%,Other Property & Casualty Insurance
ZHONGCHANG INTERNATIONAL HOLDINGS GROUP LIMITED,0.1180HKD,16.94M,0.85%,Other Real Estate Development & Operations
ZHONGGAN COMMUNICATION (GROUP) HOLDINGS LIMITED,0.4200HKD,34.3M,5.00%,Other Integrated Telecommunications Services
"ZHONGGUANCUN SCIENCE-TECH LEASING CO., LTD.",0.8200HKD,169M,-4.65%,Commercial Leasing
ZHONGHUA GAS HOLDINGS LIMITED,0.8000HKD,60.45M,25.00%,Natural Gas Distribution
ZHONGKE GROUP HOLDINGS LIMITED,1.460HKD,13.54M,224.44%,Building Contractors
ZHONGLIANG HOLDINGS GROUP COMPANY LIMITED,0.0430HKD,24.42M,-27.12%,Other Real Estate Development & Operations
"ZHONGMIAO HOLDINGS (QINGDAO) CO., LTD.",11.15HKD,201M,-37.95%,Other Multiline Insurance & Brokers
ZHONGSHEN JIANYE HOLDING LIMITED,0.2140HKD,31.24M,-58.04%,Other Construction & Engineering
ZHONGSHENG GROUP HOLDINGS LIMITED,6.160HKD,1.86B,-46.99%,"Other Auto Vehicles, Parts & Service Retailers"
